,   1   6   4  12   5   5   3   4   1  67   3   2   1   2   1   0   0   1   0   0   1   0   0   1   1 
257,   4  15   2  38   2   2   2   4   3  23   3   1   1   2   1   0   1   1   0   0   1   0   0   1   1 
258,   4  11   4  12   2   1   2   4   1  57   3   3   1   1   1   0   0   1   0   0   1   0   1   0   1 
259,   1  12   2  17   1   3   3   2   1  27   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
260,   1  24   2  16   1   5   2   4   3  55   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
261,   1  18   4  53   1   5   3   4   4  36   3   3   1   2   1   1   0   1   0   0   0   0   0   0   1 
262,   4  12   4  27   1   5   2   4   4  57   1   3   1   1   1   0   0   1   0   0   0   0   1   0   1 
263,   4  10   4  12   1   5   3   4   1  32   3   2   2   1   2   1   0   1   0   0   1   0   1   0   1 
264,   2  15   2   8   1   5   3   3   3  37   3   1   2   1   1   0   0   1   0   0   1   0   0   1   2 
265,   4  36   4  63   5   5   3   4   1  36   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
266,   4  24   2  15   1   2   2   3   3  38   2   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
267,   1  14   2  90   1   5   1   4   2  45   3   1   1   2   2   1   0   1   0   0   1   0   0   0   2 
268,   4  24   2  10   5   5   3   2   3  25   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
269,   4  18   2  27   5   4   3   3   2  32   3   1   1   1   2   1   0   1   0   0   1   0   0   1   1 
270,   4  12   4  14   3   4   2   4   3  37   3   1   1   2   1   0   0   1   0   1   0   0   0   1   1 
271,   2  48   1 122   5   1   3   4   4  36   3   1   1   2   1   1   0   0   1   0   0   0   0   0   1 
272,   2  48   2  31   1   4   3   4   1  28   3   2   1   1   1   0   0   1   0   0   1   0   0   1   2 
273,   1  30   2 120   1   2   1   1   4  34   3   1   1   2   1   0   0   1   0   0   1   0   1   0   2 
274,   4   9   2  27   1   3   3   2   1  32   3   1   2   1   1   0   0   1   0   0   1   0   0   1   1 
275,   4  18   4  24   1   3   2   2   3  26   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
276,   1  12   2  13   5   5   1   4   2  49   3   1   1   2   1   0   0   1   0   0   1   0   1   0   1 
277,   4   6   2  46   1   2   2   4   2  32   3   1   1   1   1   0   0   1   0   0   1   0   0   1   2 
278,   4  24   2  19   2   3   3   4   3  29   3   1   1   2   1   0   0   1   0   1   0   0   0   0   1 
279,   4  15   4  34   4   5   3   4   4  23   3   2   1   2   1   0   1   1   0   1   0   0   0   1   1 
280,   4  12   2  16   1   3   3   2   1  50   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
281,   3  18   1  14   5   4   3   4   3  49   1   1   1   1   1   0   0   1   0   0   1   0   1   0   1 
282,   4  15   4  15   5   5   3   4   2  63   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
283,   2  24   4  39   2   2   1   2   3  37   3   1   1   2   1   1   0   1   0   0   1   0   0   1   1 
284,   1  47   2 107   1   2   2   1   1  35   3   1   1   2   1   1   0   1   0   0   1   0   1   0   1 
285,   1  48   2  48   1   4   3   3   2  26   3   1   2   1   1   0   1   1   0   0   1   0   0   1   1 
286,   2  48   3  76   2   1   3   4   4  31   3   1   1   2   1   0   0   1   0   0   0   0   0   0   1 
287,   2  12   2  11   1   3   2   4   1  49   3   2   1   2   1   0   0   0   0   0   1   0   0   1   1 
288,   1  24   3  10   1   2   4   4   1  48   2   1   1   1   1   0   0   1   0   0   1   0   0   1   2 
289,   4  12   2  11   1   3   4   2   1  26   3   1   1   2   2   0   0   1   0   0   1   0   0   1   1 
290,   2  36   2  94   1   2   4   4   3  28   3   1   1   2   1   0   1   1   0   1   0   0   0   0   2 
291,   1  24   4  64   1   5   2   4   4  44   3   2   2   2   1   0   1   1   0   0   0   0   0   0   1 
292,   3  42   4  48   1   5   3   4   4  56   3   1   1   1   1   0   1   1   0   0   0   0   0   1   1 
293,   4  48   4  76   5   5   1   2   3  46   1   2   2   1   1   0   0   1   0   0   1   0   0   0   1 
294,   2  48   2 100   1   2   2   2   3  26   3   1   1   2   1   0   0   1   0   0   1   0   0   1   2 
295,   4  12   2  47   5   2   2   4   3  20   3   1   1   1   1   0   1   1   0   1   0   0   0   1   1 
296,   4  10   2  13   5   5   3   2   2  45   3   1   1   1   2   1   0   0   1   0   1   0   1   0   1 
297,   4  18   2  25   1   3   3   4   1  43   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
298,   2  21   4  27   4   4   3   2   3  32   3   2   1   2   1   0   0   1   0   0   1   0   0   1   1 
299,   4   6   2   7   1   1   2   4   1  54   3   1   1   2   1   1   0   1   0   0   1   1   0   0   1 
300,   2  36   0  38   1   3   2   1   3  42   3   1   1   2   1   0   0   1   0   0   1   0   0   1   2 
301,   3  24   4  13   5   4   3   2   1  37   1   2   2   1   1   1   0   1   0   0   1   0   1   0   2 
302,   1  10   4  10   1   4   3   3   2  49   3   2   1   2   1   1   0   0   1   0   1   0   0   1   1 
303,   4  48   4 101   3   3   3   2   4  44   1   1   1   1   1   1   0   1   0   0   0   0   0   1   2 
304,   4   6   2  15   4   3   1   2   1  33   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
305,   4  30   2  48   5   4   2   4   2  24   2   1   1   1   1   0   1   1   0   1   0   0   1   0   1 
306,   1  12   2   7   2   2   4   3   4  33   3   1   1   2   1   0   0   1   0   0   1   0   1   0   2 
307,   2   8   2  12   1   3   2   4   1  24   3   1   1   1   1   0   0   1   0   0   1   0   0   1   2 
308,   2   9   2   3   1   3   4   4   1  22   3   1   1   1   1   1   0   1   0   1   0   0   1   0   1 
309,   2  48   2  54   5   1   3   4   4  40   1   1   1   2   1   0   0   1   0   0   0   1   0   0   1 
310,   4  24   2  55   2   3   3   1   3  25   2   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
311,   3  24   2  37   1   2   2   4   3  26   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
312,   2  12   2   7   1   4   4   3   3  25   1   1   1   1   1   1   0   1   0   0   1   0   1   0   2 
313,   3   4   2  15   5   2   3   2   1  29   3   1   2   1   2   1   0   1   0   0   1   0   1   0   1 
314,   1  36   1  27   1   5   3   4   3  31   1   1   1   1   1   0   0   1   0   0   1   0   0   1   2 
315,   1  12   2   7   1   3   3   3   2  38   3   1   2   1   1   0   0   0   0   0   1   0   1   0   1 
316,   2  24   2  44   5   3   2   4   2  48   3   1   1   2   1   0   0   1   0   0   1   0   1   0   1 
317,   4  12   4   7   1   3   3   2   3  32   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
318,   1  15   3  36   1   5   2   4   2  27   3   2   1   1   1   0   0   1   0   0   1   0   1   0   1 
319,   2  30   4  42   1   1   4   2   3  28   3   2   1   1   1   1   0   1   0   0   1   0   0   0   2 
320,   1  24   2  19   1   2   1   3   2  32   3   1   1   1   1   0   0   1   0   0   1   0   0   1   2 
321,   1  24   2  29   1   4   3   1   4  34   3   1   1   2   1   0   1   1   0   0   0   0   0   0   1 
322,   1  18   2  27   4   3   3   2   3  28   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
323,   4  18   4  10   1   3   2   3   1  36   3   2   1   1   1   1   0   1   0   0   1   0   0   1   1 
324,   1   8   4  34   1   4   3   4   1  39   3   2   1   1   2   1   0   1   0   0   1   0   1   0   1 
325,   4  12   4  58   5   5   3   4   2  49   3   1   1   2   1   0   0   1   0   1   0   0   0   1   1 
326,   4  24   2  15   4   4   2   3   3  34   3   1   2   2   1   1   0   1   0   0   1   0   0   1   1 
327,   3  36   2  45   1   5   3   2   3  31   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
328,   2   6   2  11   1   5   3   4   3  28   3   1   2   1   1   0   0   1   0   0   1   0   0   1   1 
329,   1  24   4  66   1   1   3   4   4  75   3   2   1   2   1   0   1   1   0   0   0   0   0   0   1 
330,   4  18   4  19   2   3   2   2   1  30   3   2   1   1   1   0   0   1   0   0   1   0   0   1   2 
331,   2  60   2  74   2   2   2   2   2  24   3   1   1   1   1   1   0   1   0   0   1   0   0   0   2 
332,   4  48   4 116   2   3   2   4   3  24   1   2   1   1   1   0   1   1   0   1   0   0   1   0   2 
333,   1  24   0  41   1   5   3   4   4  23   1   2   2   1   1   0   0   1   0   1   0   0   0   1   2 
334,   1   6   4  34   1   3   1   4   1  44   3   1   1   2   1   0   0   1   0   1   0   0   0   0   2 
335,   2  13   2  21   1   2   2   4   2  23   3   1   1   1   1   0   0   0   0   0   1   0   1   0   1 
336,   1  15   2  13   5   3   2   2   3  24   3   1   1   1   1   0   0   1   0   1   0   0   0   1   2 
337,   1  24   2  42   1   3   3   4   2  28   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
338,   2  10   2  15   1   3   1   2   3  31   3   1   1   1   1   0   0   1   0   0   1   0   1   0   1 
339,   2  24   4  57   1   2   2   4   4  24   3   2   1   2   1   0   0   1   0   0   0   0   0   1   1 
340,   1  21   2  36   1   4   2   4   3  26   3   1   1   1   1   0   0   1   0   1   0   0   1   0   1 
341,   2  18   2  32   3   2   4   3   1  25   3   1   1   1   1   0   0   1   0   1   0   0   0   1   1 
342,   2  18   2  44   1   5   3   1   1  33   1   1   1   2   1   0   0   0   1   0   1   0   0   0   1 
343,   3  10   2  39   1   2   3   1   2  37   3   1   2   1   1   1   0   0   0   0   1   0   1   0   1 
344,   4  15   4  15   1   3   2   2   3  43   3   1   1   1   1   0   0   1   0   0   1   0   1   0   1 
345,   2  13   4   9   1   2   3   4   1  23   3   2   1   1   1   0   0   0   0   0   1   0   0   1   1 
346,   2  24   2  38   3   1   2   4   4  23   3   1   1   1   1   0   0   1   0   1   0   1   0   0   1 
347,   4   6   3  17   2   3   3   2   1  34   3   2   1   1   1   0   0   1   0   0   1   0   1   0   1 
348,   2   9   4  11   4   5   3   3   4  32   3   2   2   1   1   0   0   1   0   0   0   0   0   1   2 
349,   4   9   2  12   1   2   2   4   1  23   3   1   1   2   1   0   0   1   0   1   0   0   0   1   1 
350,   2   9   2  10   1   3   2   2   3  29   3   1   1   1   2   0   0   1   0   0   1   0   0   1   2 
351,   4  18   4  32   5   1   3   4   4  38   3   1   1   2   1   0   1   1   0   0   1   0   0   0   1 
352,   1  12   0  62   1   3   3   2   2  28   3   2   1   2   1   0   0   1   0   1   0   0   0   1   2 
353,   4  10   2   7   3   5   3   4   4  46   3   1   1   2   1   0   0   1   0   0   0   0   0   1   1 
354,   2  24   2  12   1   2   3   2   1  23   2   1   1   1   1   1   0   1   0   0   1   0   1   0   2 
355,   4  12   4  23   5   5   3   4   1  49   3   1   1   2   1   0   0   0   1   0   1   0   0   1   1 
356,   4  36   3  45   1   3   3   2   3  26   3   2   1   2   1   0   0   1   0   0   1   0   0   0   2 
357,   4  12   2   8   1   3   4   2   1  28   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
358,   1  30   2  24   1   4   2   4   1  23   3   1   1   1   1   0   0   1   0   1   0   0   0   1   2 
359,   2  18   2  12   5   3   3   4   4  61   3   1   1   1   1   0   0   1   0   0   0   0   0   1   1 
360,   3  12   2  34   5   5   3   3   3  37   3   1   1   1   1   0   0   1   0   0   1   0   0   0   1 
361,   3  12   3  22   1   3   2   2   3  36   2   2   1   2   1   1   0   1   0   0   1   0   0   1   1 
362,   4   6   2  18   1   3   4   2   2  21   3   1   1   1   1   0   0   1   0   1   0   0   0   1   1 
363,   1  18   2  25   1   1   3   1   3  25   3   1   1   1   1   0   0   1   0   0   1   1   0   0   2 
364,   4  12   2  15   1   4   3   4   3  36   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
365,   4  18   4  38   1   4   3   1   3  27   3   2   1   1   1   0   1   1   0   0   1   0   0   1   1 
366,   1  18   2  36   1   2   2   4   3  22   3   1   1   1   1   0   0   1   0   1   0   0   0   1   1 
367,   1  36   2  34   1   5   3   2   3  42   3   1   2   1   1   0   0   1   0   0   1   0   0   1   2 
368,   2  18   2  30   1   4   2   4   1  40   3   1   1   1   1   0   0   1   0   1   0   0   0   1   1 
369,   4  36   2  31   5   3   3   4   1  36   3   1   1   1   1   1   0   1   0   0   1   0   0   1   1 
370,   4  18   4  61   1   5   3   4   3  33   3   2   1   2   1   0   0   1   0   0   1   0   0   1   1 
371,   4  10   4  21   1   2   2   3   1  23   3   2   1   1   1   0   0   1   0   1   0   0   0   1   1 
372,   4  60   4 138   5   5   3   4   4  63   1   1   1   2   1   1   0   1   0   0   0   0   0   0   1 
373,   2  60   1 148   2   5   2   4   4  60   1   2   1   2   1   0   0   1   0   0   0   0   0   0   2 
374,   1  48   1  77   1   4   2   4   3  37   3   1   1   1   1   0   0   0   0   1   0   0   0   1   2 
375,   4  18   3  23   1   1   4   3   1  34   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
376,   4   7   3   8   5   5   3   4   4  36   3   1   1   1   1   0   0   1   0   0   0   0   0   1   1 
377,   2  36   2 143   1   5   3   2   4  57   3   1   1   2   1   1   0   1   0   0   0   0   0   0   2 
378,   4   6   4   4   2   3   2   4   3  52   3   2   1   1   1   1   0   1   0   0   1   0   1   0   1 
379,   1  20   2  22   5   4   3   4   3  39   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
380,   2  18   2 130   1   1   2   4   4  38   3   1   1   2   1   0   1   1   0   0   0   0   0   0   2 
381,   4  22   2  13   5   4   2   4   2  25   3   1   1   1   1   1   0   1   0   1   0   0   0   1   1 
382,   3  12   2  13   1   2   3   1   1  26   3   1   1   1   1   1   0   1   0   0   1   0   0   1   1 
383,   4  30   3  43   2   3   3   2   2  26   3   2   1   1   1   0   0   1   0   0   1   0   1   0   1 
384,   4  18   4  22   1   3   2   1   3  25   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
385,   4  18   2  11   5   2   2   2   1  21   3   1   1   2   1   0   0   1   0   1   0   0   0   1   1 
386,   2  18   4  74   1   1   3   4   2  40   2   2   1   2   1   0   0   1   0   0   1   0   0   0   1 
387,   2  15   4  23   3   3   3   4   3  27   1   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
388,   4   9   2  14   1   4   2   2   3  27   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
389,   4  18   2  18   1   3   4   2   2  30   3   1   1   2   1   1   0   1   0   0   1   0   0   0   1 
390,   2  12   2  10   4   2   2   4   1  19   3   1   1   1   1   0   0   1   0   1   0   0   1   0   1 
391,   1  36   2  32   1   4   3   4   4  39   1   1   2   2   1   1   0   1   0   0   0   0   0   0   1 
392,   1   6   4  20   1   4   2   4   3  31   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
393,   4   9   4  24   1   1   3   3   3  31   3   1   1   1   1   0   0   1   0   0   1   0   0   0   1 
394,   2  39   3 118   2   4   3   3   4  32   3   1   1   2   1   0   0   1   0   1   0   0   0   1   1 
395,   1  12   2  26   1   1   2   4   4  55   3   1   1   1   1   0   0   1   0   0   0   0   0   0   1 
396,   1  36   4  23   1   3   4   2   2  46   3   2   1   2   1   0   0   1   0   0   1   0   0   1   1 
397,   2  12   2  12   1   5   1   1   1  46   3   2   1   1   1   1   0   1   0   1   0   0   0   1   2 
398,   4  24   4  15   4   3   2   1   1  43   3   2   1   1   1   0   0   1   0   0   1   0   1   0   1 
399,   4  18   2  15   1   2   4   4   1  39   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
400,   2  18   4  19   5   3   4   4   1  28   1   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
401,   4  24   3  86   1   2   3   2   3  27   1   2   1   2   1   0   0   1   0   0   1   0   0   1   2 
402,   4  14   3   8   1   3   3   2   3  27   3   2   1   1   1   1   0   1   0   0   1   0   1   0   1 
403,   2  18   3  29   5   5   3   4   3  43   3   1   2   1   1   1   0   1   0   0   1   0   0   1   1 
404,   2  24   2  20   1   2   4   1   2  22   3   1   1   2   1   0   0   1   0   0   1   0   0   1   2 
405,   4  24   4  22   5   4   3   4   3  43   3   2   2   2   1   0   1   1   0   0   1   0   0   1   1 
406,   1  15   2  11   1   2   4   2   1  27   3   1   1   1   2   0   0   1   0   0   1   0   0   1   1 
407,   4  24   2  32   3   5   1   2   3  26   3   1   1   2   1   0   0   1   0   0   1   0   0   0   1 
408,   3  12   4   9   3   4   4   2   1  28   3   3   1   2   1   1   0   1   0   0   1   0   0   1   2 
409,   2  24   2  20   1   5   2   4   3  20   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
410,   4  33   4  73   1   4   3   2   3  35   3   2   1   2   1   0   1   1   0   0   1   0   0   0   1 
411,   4  12   4  23   1   1   3   2   3  42   2   2   1   2   1   0   0   1   0   0   1   0   0   0   2 
412,   4  10   2  16   3   3   3   2   4  40   3   1   2   1   2   1   0   1   0   1   0   0   1   0   1 
413,   1  24   2  14   5   3   2   2   2  35   3   1   1   1   1   1   0   1   0   0   1   0   0   1   2 
414,   4  36   4  58   1   5   3   2   2  35   3   2   2   2   1   0   1   1   0   0   1   0   0   1   1 
415,   1  12   2  26   1   2   3   1   1  33   3   1   2   1   1   1   0   1   0   0   1   0   1   0   2 
416,   1  18   3  85   5   3   2   2   3  23   3   2   1   2   1   0   0   1   0   1   0   0   0   1   1 
417,   4  21   2  28   3   4   2   2   3  31   1   1   1   1   1   1   0   1   0   0   1   0   0   0   1 
418,   2  18   2  10   5   3   2   2   2  33   3   1   1   1   1   1   0   1   0   0   1   0   0   1   2 
419,   4  15   2  32   4   4   2   3   3  20   3   1   1   1   1   1   0   1   0   1   0   0   0   1   1 
420,   2  12   2  20   5   3   3   2   3  30   3   1   1   1   1   0   1   1   0   0   1   0   0   1   1 
421,   2  12   4  10   1   4   3   3   1  47   3   2   2   1   1   1   0   1   0   0   1   0   1   0   1 
422,   4  21   3  16   2   4   3   3   1  34   3   2   1   1   1   0   0   1   0   0   1   0   0   0   1 
423,   2  12   2  28   5   5   2   2   2  25   1   1   1   2   1   0   0   1   0   0   1   0   0   1   2 
424,   2  18   2  28   1   3   4   3   3  21   3   1   1   2   1   0   1   1   0   1   0   0   0   1   1 
425,   4  28   4  27   1   5   3   2   3  29   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
426,   4  18   4  11   4   3   3   3   1  46   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
427,   4   9   2  13   1   5   3   4   3  20   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
428,   1  18   4  12   1   1   2   4   4  55   3   3   2   1   1   0   0   1   0   0   0   1   0   0   2 
429,   4   5   2  34   1   4   3   4   1  74   3   1   1   1   1   0   0   1   0   0   1   0   1   0   1 
430,   2  24   2 113   1   3   3   3   3  29   1   2   1   2   1   0   0   0   1   0   1   0   0   0   2 
431,   1   6   4  19   1   1   3   4   4  36   3   3   1   2   1   0   0   1   0   0   0   0   0   0   1 
432,   4  24   4  21   1   3   1   2   1  33   3   2   1   2   1   0   0   1   0   0   1   0   0   1   1 
433,   1   9   2  21   1   3   3   2   1  25   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
434,   2  12   2  15   5   3   4   1   1  25   3   1   1   2   1   0   0   1   0   0   1   0   0   1   2 
435,   4   6   2   7   3   4   4   4   1  23   3   1   1   1   1   0   0   1   0   1   0   0   1   0   1 
436,   4  24   4  13   4   5   2   4   1  37   3   2   1   2   1   1   0   1   0   0   1   0   0   1   1 
437,   1  42   4  34   1   1   3   4   3  65   3   2   1   1   1   0   0   0   1   0   1   1   0   0   1 
438,   3  12   1   6   1   2   2   1   1  26   3   1   1   1   1   0   0   1   0   0   1   1   0   0   2 
439,   4  12   2  19   1   5   3   4   3  39   3   1   1   2   1   1   0   1   0   0   1   0   0   0   1 
440,   1  12   2  16   1   3   2   3   2  30   3   1   1   1   1   0   0   0   1   0   1   0   0   1   1 
441,   2  20   3  26   1   3   3   3   3  29   1   2   1   2   1   0   0   1   0   0   1   0   0   1   1 
442,   4  12   2   7   1   5   3   4   3  41   1   1   2   1   1   0   0   1   0   0   1   0   1   0   2 
443,   2  48   4  51   1   3   2   3   3  30   3   1   1   2   1   0   0   1   0   0   1   0   0   0   2 
444,   4   9   4  12   5   5   2   4   2  41   3   2   1   1   1   0   0   1   0   1   0   0   1   0   1 
445,   1  36   2  18   1   2   2   4   3  34   3   1   1   2   1   1   0   1   0   0   1   0   0   1   2 
446,   2   7   2  26   1   3   3   2   1  35   3   1   1   1   1   0   0   0   0   0   1   0   0   1   1 
447,   3  12   2  14   5   5   2   4   1  55   3   1   1   2   1   0   0   1   0   0   1   0   0   0   1 
448,   2  15   3  15   4   3   4   3   2  61   2   2   1   1   1   0   0   1   0   0   1   0   0   1   2 
449,   4  36   4 111   5   3   3   2   3  30   3   1   1   2   1   0   1   1   0   0   1   0   0   0   1 
450,   4   6   2   5   1   3   2   1   1  29   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
451,   4  12   0  28   1   5   3   4   2  34   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
452,   4  24   2  27   1   5   3   4   3  35   3   1   1   2   1   0   1   1   0   0   1   0   0   0   1 
453,   1  24   2  48   1   4   3   3   2  31   3   1   1   2   1   1   0   0   1   0   1   0   0   1   2 
454,   4  24   2  27   1   2   2   1   4  29   3   1   1   2   1   0   1   1   0   0   1   0   0   0   1 
455,   1  11   4  39   1   3   3   2   1  36   3   2   2   1   1   1   0   1   0   1   0   0   0   1   1 
456,   1  12   2  34   1   5   3   4   4  35   3   1   1   2   1   0   1   1   0   0   0   0   0   1   2 
457,   1   6   2   3   1   2   2   1   1  27   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
458,   4  18   2  46   1   2   3   2   3  32   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
459,   1  36   2  36   1   3   3   2   2  37   3   1   2   1   1   0   0   0   0   0   1   0   0   1   1 
460,   1  15   2  17   1   2   3   3   1  36   3   1   1   1   1   1   0   1   0   0   1   0   0   1   1 
461,   2  12   2  30   1   2   2   1   1  34   3   1   1   1   1   0   0   1   0   1   0   0   0   0   1 
462,   2  12   2   8   5   5   3   4   2  38   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
463,   4  18   2  20   1   4   3   1   3  34   2   2   1   2   1   0   0   1   0   0   1   0   0   1   1 
464,   1  24   2  29   1   3   3   4   4  63   1   1   2   2   1   0   1   0   0   0   1   0   0   1   1 
465,   1  24   3  17   1   2   2   2   3  29   3   1   1   2   1   0   0   1   0   1   0   0   1   0   2 
466,   4  48   3  72   5   5   3   3   3  32   1   2   2   1   1   0   0   1   0   0   1   0   0   1   1 
467,   4  33   3  28   1   3   2   2   3  26   3   2   1   2   1   0   0   1   0   0   1   0   0   1   1 
468,   4  24   3  47   1   4   3   3   3  35   3   2   1   2   1   0   1   1   0   0   1   0   1   0   1 
469,   2  24   2  31   2   2   4   2   3  22   3   1   1   2   1   0   0   1   0   1   0   0   0   1   2 
470,   1   6   2   4   1   2   2   4   2  23   3   1   1   1   1   0   0   1   0   0   1   0   0   1   2 
471,   1   9   2   7   1   3   3   3   3  28   3   1   1   1   1   1   0   1   0   0   1   0   1   0   2 
472,   4   6   2  12   5   1   3   4   2  36   3   1   2   2   1   0   0   1   0   0   1   0   0   0   1 
473,   2  18   4  12   1   3   4   2   3  33   3   1   1   1   1   0   0   1   0   0   1   0   0   1   2 
474,   1  18   0  31   1   2   2   4   2  26   3   1   1   1   1   0   0   1   0   1   0   0   0   1   2 
475,   4  39   2  26   3   3   3   4   3  24   3   1   1   1   1   0   1   1   0   0   1   0   0   1   1 
476,   3  24   2  52   1   4   3   2   3  25   1   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
477,   2  12   2  10   2   4   3   4   1  39   3   1   1   1   1   0   0   1   0   0   1   0   1   0   1 
478,   1  15   4  15   1   5   3   4   3  44   3   2   2   2   1   0   0   1   0   0   1   0   0   1   1 
479,   2  12   4  36   1   3   2   1   1  23   3   1   1   1   1   0   0   1   0   0   1   0   1   0   1 
480,   2  24   2  12   1   2   3   1   2  26   3   1   1   1   1   1   0   1   0   0   1   0   0   1   1 
481,   1  30   2  36   4   5   2   4   2  57   3   2   1   2   1   0   0   1   0   1   0   0   0   1   1 
482,   4  15   3  10   4   4   2   2   2  30   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
483,   4  12   4  12   3   3   3   4   1  44   3   1   1   2   1   1   0   1   0   0   1   0   0   1   1 
484,   2   6   3  12   1   1   3   4   2  47   3   1   1   2   1   1   0   1   0   0   1   0   0   0   2 
485,   4  12   2  31   1   3   3   4   3  52   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
486,   4  24   2  38   1   5   2   4   4  62   3   1   1   2   1   1   0   0   1   0   0   0   0   1   1 
487,   4  10   2  14   2   3   3   2   1  35   3   1   1   1   2   1   0   1   0   1   0   0   1   0   1 
488,   4   6   2  35   1   3   3   3   2  26   3   1   1   1   1   1   0   0   0   1   0   0   0   1   1 
489,   4  12   4  19   1   5   3   2   4  26   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
490,   2  27   0  83   1   5   2   4   4  42   3   2   1   2   1   0   0   1   0   0   0   0   0   0   2 
491,   4   6   4  12   2   3   2   1   2  27   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
492,   2   6   2   4   5   5   3   4   2  38   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
493,   1  12   4  21   1   3   3   2   1  39   3   2   2   1   2   1   0   1   0   1   0   0   1   0   1 
494,   1  24   2  30   5   3   4   4   3  20   3   1   1   1   1   0   0   1   0   0   1   0   0   1   2 
495,   2  36   2  90   2   2   3   1   4  29   3   1   1   2   1   0   0   0   1   1   0   0   0   0   2 
496,   4  24   4  16   1   4   3   3   2  40   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
497,   2  18   2  13   1   5   4   2   1  32   3   1   1   1   1   0   0   0   0   0   1   0   1   0   1 
498,   3   6   4  13   2   5   1   4   3  28   3   2   2   2   1   1   0   1   0   0   1   0   0   1   1 
499,   1  24   2  31   1   2   2   1   2  27   3   1   1   1   1   1   0   1   0   0   1   0   0   1   2 
500,   1  36   2  55   1   5   3   4   4  42   3   1   2   1   1   0   1   1   0   0   0   0   0   1   1 
501,   3   9   2  11   2   5   1   4   1  49   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
502,   2  24   4  12   2   2   3   4   4  38   1   2   2   1   1   0   0   1   0   0   1   0   0   1   2 
503,   1  24   2  12   1   2   2   4   2  24   3   1   1   1   1   1   0   1   0   1   0   0   0   1   2 
504,   4  10   2  13   5   3   3   4   2  27   3   1   1   1   1   1   0   0   0   0   1   0   1   0   2 
505,   3  15   4  24   3   3   3   2   3  36   3   1   1   2   1   0   1   1   0   0   1   0   0   1   1 
506,   2  15   1  68   2   1   3   2   2  34   3   1   2   2   1   1   0   1   0   0   1   0   0   0   2 
507,   4  24   2  14   1   3   4   2   2  28   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
508,   4  39   2  86   2   5   3   2   3  45   3   1   1   2   1   0   1   1   0   0   1   0   0   0   1 
509,   1  12   2   8   1   4   3   2   1  26   3   1   1   1   1   1   0   1   0   0   1   0   0   1   2 
510,   4  36   2  47   1   3   3   2   4  32   3   1   1   2   1   0   1   1   0   0   0   0   0   0   1 
511,   3  15   2  27   1   4   3   4   2  26   3   1   1   2   1   0   0   1   0   1   0   0   0   1   1 
512,   2  12   3   6   1   3   4   4   1  20   3   2   1   1   1   0   0   0   1   1   0   0   0   1   1 
513,   4  24   2  23   5   2   3   1   2  54   3   1   1   1   1   1   0   1   0   0   1   0   0   1   1 
514,   1   6   4   6   1   4   2   3   2  37   3   2   1   1   2   1   0   1   0   0   1   0   0   1   1 
